incluido;id_contrato;referencia;dependencia;proveedor;categorias;valor_contrato;tipo_inferido;estado;fecha_aprobacion;valor_resultante;dias_extendidos;proposito_texto
SI;CO1.PCCNTR.8823414;4131.010.26.1.0462-2026;Cali · Hacienda;JUAN ARTURO SERNA BOLIVAR;Logística y eventos;21306000;Aclaración o corrección;Publicado;2026-05-29;21306000;61;SE PUBLICA MODIFICATORIO MEDIANTE EL CUAL SE CORRIGE ERROR DE DIGITACIÓN EN EL NÚMERO DE CONTRATO EN LA CLÁUSULA TERCERA DE LA MODIFICACIÓN 1 - VER ANEXOS
NO;CO1.PCCNTR.9130417;4143.010.26.1.0865.2026;Cali · Educación;Marizolandi Idrobo Ramirez;Logística y eventos;19735000;Adición en valor+Prórroga de plazo;Publicado;2026-05-14;19735000;30;Se realiza prorroga y adición por solicitud de supervisor.
SI;CO1.PCCNTR.8740908;1.210.19.13-20800;Valle · Educación;HERNAN JOSE TORO BECERRA;Alimentación y catering;18000000;Otra;Publicado;2026-07-16;18000000;0;Que a la fecha se ha cumplido totalmente la ejecución del objeto contractual con todas sus obligaciones siendo recibidas a satisfacción por la Secretaría de Educación del Departamento del Valle del Cauca. Finalizado el periodo de ejecución las partes se declaran a paz y salvo por todo concepto y de común acuerdo terminan el contrato.
SI;CO1.PCCNTR.8740908;1.210.19.13-20800;Valle · Educación;HERNAN JOSE TORO BECERRA;Alimentación y catering;18000000;Otra;Publicado;2026-07-29;18000000;0;De conformidad con lo establecido en el artículo 2.2.1.1.2.4.3. del Decreto 1082 de 2015 y con los lineamientos impartidos por Colombia Compra Eficiente se procede a realizar cierre del expediente del contrato.
SI;CO1.PCCNTR.9466910;1.310.19.15-6057-2026;Valle · Desarrollo Económico;COMERCIALIZADORA RUESAA S.A.S;Cafetería y suministros;17864200;Sin descripción;Cancelado;;11909770;0;No definido
SI;CO1.PCCNTR.9466910;1.310.19.15-6057-2026;Valle · Desarrollo Económico;COMERCIALIZADORA RUESAA S.A.S;Cafetería y suministros;17864200;Adición en valor+Prórroga de plazo;Publicado;2026-06-11;17864200;0;Que las partes han decidido suscribir el presente Modificatorio u OTROSÍ No. 01 a la Aceptación de la oferta No. 1.310.19.15-6057-2026 con el propósito de adicional su valor en la suma de CINCO MILLONES NOVECIENTOS CINCUENTA Y CUATRO MIL CUATROCIENTOS TREINTA PESOS M/CTE $ 5.954.430 sin que sea necesario que se prorrogue su plazo de ejecución.
SI;CO1.PCCNTR.8779050;4131.010.26.1.0144-2026;Cali · Hacienda;CELMIRA RUIZ ECHEVERRY;Logística y eventos;16752000;Adición en valor+Prórroga de plazo;Publicado;2026-04-10;16752000;61;SE PRORROGA EL PLAZO DE EJECUCIÓN HASTA EL 30 DE JUNIO DE 2026 Y SE ADICIONAN 2 CUOTAS AL VALOR DEL CONTRATO - VER ANEXOS
SI;CO1.PCCNTR.8779050;4131.010.26.1.0144-2026;Cali · Hacienda;CELMIRA RUIZ ECHEVERRY;Logística y eventos;16752000;Aclaración o corrección;Publicado;2026-05-29;16752000;61;SE PUBLICA MODIFICATORIO MEDIANTE EL CUAL SE CORRIGE ERROR DE DIGITACIÓN EN EL NÚMERO DE CONTRATO EN LA CLÁUSULA TERCERA DE LA MODIFICACIÓN 1 - VER ANEXOS
SI;CO1.PCCNTR.8779099;4131.010.26.1.0163-2026;Cali · Hacienda;MARIELA GRIJALBA MARTÍNEZ;Logística y eventos;16752000;Adición en valor+Prórroga de plazo;Publicado;2026-04-10;16752000;61;SE PRORROGA EL PLAZO DE EJECUCIÓN HASTA EL 30 DE JUNIO DE 2026 Y SE ADICIONAN 2 CUOTAS AL VALOR DEL CONTRATO- VER ANEXOS
SI;CO1.PCCNTR.8779099;4131.010.26.1.0163-2026;Cali · Hacienda;MARIELA GRIJALBA MARTÍNEZ;Logística y eventos;16752000;Aclaración o corrección;Publicado;2026-05-29;16752000;61;SE PUBLICA MODIFICATORIO MEDIANTE EL CUAL SE CORRIGE ERROR DE DIGITACIÓN EN EL NÚMERO DE CONTRATO EN LA CLÁUSULA TERCERA DE LA MODIFICACIÓN 1 - VER ANEXOS
SI;CO1.PCCNTR.8779164;4131.010.26.1.0162-2026;Cali · Hacienda;JOSE ELIAS VALDEZ IBARRA;Mensajería y correo;16752000;Adición en valor+Prórroga de plazo;Publicado;2026-04-10;16752000;61;SE PRORROGA EL PLAZO DE EJECUCIÓN HASTA EL 30 DE JUNIO DE 2026 Y SE ADICIONAN 2 CUOTAS AL VALOR DEL CONTRATO - VER ANEXOS
SI;CO1.PCCNTR.8779164;4131.010.26.1.0162-2026;Cali · Hacienda;JOSE ELIAS VALDEZ IBARRA;Mensajería y correo;16752000;Aclaración o corrección;Publicado;2026-06-03;16752000;61;SE PUBLICA MODIFICATORIO MEDIANTE EL CUAL SE CORRIGE ERROR DE DIGITACIÓN EN EL NÚMERO DE CONTRATO EN LA CLÁUSULA TERCERA DE LA MODIFICACIÓN 1 - VER ANEXOS
SI;CO1.PCCNTR.8779213;4131.010.26.1.0033-2026;Cali · Hacienda;Carlos Andres Gomez Zuñiga;Logística y eventos|Mensajería y correo;16752000;Adición en valor+Prórroga de plazo;Publicado;2026-04-09;16752000;61;SE PRORROGA EL PLAZO DE EJECUCIÓN HASTA EL 30 DE JUNIO DE 2026 Y SE ADICIONAN 2 CUOTAS AL VALOR DEL CONTRATO - VER ANEXOS
SI;CO1.PCCNTR.8779213;4131.010.26.1.0033-2026;Cali · Hacienda;Carlos Andres Gomez Zuñiga;Logística y eventos|Mensajería y correo;16752000;Aclaración o corrección;Publicado;2026-05-29;16752000;61;SE PUBLICA MODIFICATORIO MEDIANTE EL CUAL SE CORRIGE ERROR DE DIGITACIÓN EN EL NÚMERO DE CONTRATO EN LA CLÁUSULA TERCERA DE LA MODIFICACIÓN 1 - VER ANEXOS
